PassName,Partnered,SkiResortName,SkiRegion,Address,Latitude,Longitude,WebsiteUrl,TrailMapUrl
Indy,FALSE,Mt. Shasta,,,41.321106,-122.2060823,https://www.indyskipass.com/our-resorts/mt-shasta,
Indy,FALSE,Mt. Washington,,,49.80450975,-125.2614094,https://www.indyskipass.com/our-resorts/mt-washington,
Indy,FALSE,Muica Snow Resort,,,37.0719009,138.8433196,https://www.indyskipass.com/our-resorts/muica-snow-resort,
Indy,FALSE,Nayoro Piyashiri Ski Resort,,,44.40454724,142.5138906,https://www.indyskipass.com/our-resorts/nayoro-piyashiri-ski-resort,
Indy,FALSE,Nelson Nordic Ski Club,,,49.409235,-117.2137275,https://www.indyskipass.com/our-resorts/nelson-nordic-ski-club,
Indy,FALSE,Nickel Plate Cross Country Ski Club,,,49.383699,-119.9567878,https://www.indyskipass.com/our-resorts/nickel-plate-cross-country-ski-club,
Indy,FALSE,Ninox Snow Park,,,37.9268164,139.4653277,https://www.indyskipass.com/our-resorts/ninox-snow-park,
Indy,FALSE,Nordic Mountain,,,44.1214576,-89.1838618,https://www.indyskipass.com/our-resorts/nordic-mountain,
Indy,FALSE,Norway Mountain,,,45.7894874,-87.8724272,https://www.indyskipass.com/our-resorts/norway-mountain,
Indy,FALSE,Nubs Nob,,,45.471166,-84.9069303,https://www.indyskipass.com/our-resorts/nubs-nob-0,
Indy,FALSE,Ober Mountain,,,35.7031411,-83.5608417,https://www.indyskipass.com/our-resorts/ober-mountain,
Indy,FALSE,Okunakayama Kogen,,,40.0874,141.1715197,https://www.indyskipass.com/our-resorts/okunakayama-kogen,
Indy,FALSE,Palcall Tsumagoi Resort,,,36.55600189,138.4640234,https://www.indyskipass.com/our-resorts/palcall-tsumagoi-resort,
Indy,FALSE,Pass Powderkeg,,,49.60297943,-114.4492817,https://www.indyskipass.com/our-resorts/pass-powderkeg,
Indy,FALSE,Pats Peak,,,43.1639733,-71.8002399,https://www.indyskipass.com/our-resorts/pats-peak,
Indy,TRUE,Paul Bunyan Ski Hill,,,45.32571999,-88.52408214,https://www.indyskipass.com/our-resorts/paul-bunyan-ski-hill,
Indy,FALSE,Peek â€˜n Peak,,,42.0623302,-79.7381204,https://www.indyskipass.com/our-resorts/peek-n-peak,
Indy,FALSE,Phoenix Mountain,,,49.103709,-118.5866193,https://www.indyskipass.com/our-resorts/phoenix-mountain,
Indy,FALSE,Pine Mountain,,,45.8391227,-88.0913177,https://www.indyskipass.com/our-resorts/pine-mountain,
Indy,FALSE,Pippu Ski Resort,,,43.9331104,142.4972506,https://www.indyskipass.com/our-resorts/pippu-ski-resort,
Indy,FALSE,Pomerelle Mountain Resort,,,42.3179871,-113.6103326,https://www.indyskipass.com/our-resorts/pomerelle-mountain-resort,
Indy,FALSE,Powder Ridge,,,45.3438676,-94.3075934,https://www.indyskipass.com/our-resorts/powder-ridge,
Indy,FALSE,Powderhorn,,,39.07000715,-108.1508398,https://www.indyskipass.com/our-resorts/powderhorn,
Indy,FALSE,Quarry Road Trails,,,44.5826282,-69.6605718,https://www.indyskipass.com/our-resorts/quarry-road-trails,
Indy,FALSE,Ragged Mountain,,,43.48542581,-71.84227592,https://www.indyskipass.com/our-resorts/ragged-mountain,
Indy,FALSE,Rangeley Lakes Trail Center,,,44.9564326,-70.5684757,https://www.indyskipass.com/our-resorts/rangeley-lakes-trail-center,
Indy,FALSE,Red Lodge,,,45.19147328,-109.3352328,https://www.indyskipass.com/our-resorts/red-lodge,
Indy,FALSE,Rikert Nordic Center,,,43.954787,-72.9936673,https://www.indyskipass.com/our-resorts/rikert-nordic-center,
Indy,FALSE,Saddleback Mountain,,,44.9462173,-70.5296617,https://www.indyskipass.com/our-resorts/saddleback-mountain,
Indy,FALSE,Saskadena Six Ski Area,,,43.6650614,-72.5458462,https://www.indyskipass.com/our-resorts/saskadena-six-ski-area,
Indy,FALSE,Sasquatch Mountain Resort,,,49.379918,-121.9380493,https://www.indyskipass.com/our-resorts/sasquatch-mountain-resort,
Indy,FALSE,Schuss Mountain at Shanty Creek,,,44.940947,-85.1357063,https://www.indyskipass.com/our-resorts/schuss-mountain-at-shanty-creek,
Indy,FALSE,Shames Mountain,,,54.484131,-128.9553952,https://www.indyskipass.com/our-resorts/shames-mountain,
Indy,FALSE,Shawnee Mountain Ski Area,,,41.03977382,-75.08480066,https://www.indyskipass.com/our-resorts/shawnee-mountain-ski-area,
Indy,FALSE,Shimokura,,,39.8990404,140.9543099,https://www.indyskipass.com/our-resorts/shimokura,
Indy,FALSE,Silver Mountain,,,47.4950187,-116.1343218,https://www.indyskipass.com/our-resorts/silver-mountain,
Indy,FALSE,Skaneateles Ski Club,,,42.91535333,-76.33377842,https://www.indyskipass.com/our-resorts/skaneateles-ski-club,
Indy,FALSE,Ski Big Bear,,,41.5233005,-75.0278006,https://www.indyskipass.com/our-resorts/ski-big-bear,
Indy,FALSE,Ski Bluewood,,,46.0824682,-117.853694,https://www.indyskipass.com/our-resorts/ski-bluewood,
Indy,FALSE,Ski Sawmill,,,41.5209883,-77.2925621,https://www.indyskipass.com/our-resorts/ski-sawmill,
Indy,FALSE,SkiWelt,,,47.4787937,12.2008647,https://www.indyskipass.com/our-resorts/skiwelt,
Indy,FALSE,Snow King Mountain Resort,,,43.4728087,-110.7586156,https://www.indyskipass.com/our-resorts/snow-king-mountain-resort,
Indy,FALSE,Snow Ridge,,,43.6397477,-75.4249888,https://www.indyskipass.com/our-resorts/snow-ridge,
Indy,FALSE,Snowriver,,,46.50092153,-89.96680128,https://www.indyskipass.com/our-resorts/snowriver,
Indy,FALSE,Snowstar,,,41.425203,-90.7487552,https://www.indyskipass.com/our-resorts/snowstar,
Indy,FALSE,Soldier Mountain,,,43.484719,-114.8394912,https://www.indyskipass.com/our-resorts/soldier-mountain,
Indy,FALSE,Sovereign Lake Nordic Club,,,50.36244,-119.1077133,https://www.indyskipass.com/our-resorts/sovereign-lake-nordic-club,
Indy,FALSE,Spirit Mountain,,,46.7182684,-92.2167365,https://www.indyskipass.com/our-resorts/spirit-mountain,
Indy,FALSE,Sundown Mountain,,,42.5152436,-90.8217712,https://www.indyskipass.com/our-resorts/sundown-mountain,
Indy,FALSE,Sunlight Mountain Resort,,,39.3997821,-107.341345,https://www.indyskipass.com/our-resorts/sunlight-mountain-resort,
Indy,FALSE,Sunrise Park,,,33.9737271,-109.5668086,https://www.indyskipass.com/our-resorts/sunrise-park,
Indy,FALSE,Swain Resort,,,42.4765984,-77.8577131,https://www.indyskipass.com/our-resorts/swain-resort,
Indy,FALSE,Swiss Valley,,,41.9546966,-85.8299194,https://www.indyskipass.com/our-resorts/swiss-valley,
Indy,FALSE,Takasu Snow Park,,,35.9982091,136.8747543,https://www.indyskipass.com/our-resorts/takasu-snow-park,
Indy,FALSE,Tamarack Mountain Resort,,,44.6707683,-116.1256351,https://www.indyskipass.com/our-resorts/tamarack-mountain-resort,
Indy,FALSE,Tangram Ski Circus,,,36.8533811,138.2604231,https://www.indyskipass.com/our-resorts/tangram-ski-circus,
Indy,FALSE,Tazawako,,,39.7623337,140.7681328,https://www.indyskipass.com/our-resorts/tazawako,
Indy,FALSE,Telemark Nordic Center,,,49.863107,-119.7175073,https://www.indyskipass.com/our-resorts/telemark-nordic-center,
Indy,FALSE,Terry Peak,,,44.3345768,-103.8429043,https://www.indyskipass.com/our-resorts/terry-peak,
